month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,19,4,,,,,,,,,0.0
1,19,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,20,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,21,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,22,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,23,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,24,4,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,1,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,2,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,3,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,4,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,5,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,6,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,7,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,8,5,,,,,,,,,0.0
1,9,5,,,,,,,,,0.0
1,9,5,,,,,,,,,0.0025
1,9,5,,,,,,,,,0.0475
1,9,5,,,,,,,,,0.1025
1,10,5,,,,,,,,,0.24
1,10,5,,,,,,,,,0.36
1,10,5,,,,,,,,,0.47
1,10,5,,,,,,,,,0.77
1,11,5,,,,,,,,,1.125
1,11,5,,,,,,,,,1.1325
1,11,5,,,,,,,,,1.3575
1,11,5,,,,,,,,,1.3625
1,12,5,,,,,,,,,1.4575
1,12,5,,,,,,,,,1.3225
1,12,5,,,,,,,,,1.275
1,12,5,,,,,,,,,1.345
1,13,5,,,,,,,,,1.3875
1,13,5,,,,,,,,,1.7
1,13,5,,,,,,,,,1.355
1,13,5,,,,,,,,,1.23
1,14,5,,,,,,,,,1.4025
1,14,5,,,,,,,,,1.2375
1,14,5,,,,,,,,,1.205
1,14,5,,,,,,,,,0.9825
1,15,5,,,,,,,,,0.8625
1,15,5,,,,,,,,,0.9
1,15,5,,,,,,,,,0.8725
1,15,5,,,,,,,,,0.63
1,16,5,,,,,,,,,0.7125
1,16,5,,,,,,,,,0.555
1,16,5,,,,,,,,,0.425
1,16,5,,,,,,,,,0.4375
1,17,5,,,,,,,,,0.47
1,17,5,,,,,,,,,0.4225
1,17,5,,,,,,,,,0.45
1,17,5,,,,,,,,,0.1525
1,18,5,,,,,,,,,0.05
1,18,5,,,,,,,,,0.015
1,18,5,,,,,,,,,0.0
1,18,5,,,,,,,,,0.0
1,19,5,,,,,,,,,0.0
1,19,5,,,,,,,,,0.0
1,19,5,,,,,,,,,0.0
1,19,5,,,,,,,,,0.0
1,20,5,,,,,,,,,0.0
1,20,5,,,,,,,,,0.0
1,20,5,,,,,,,,,0.0
1,20,5,,,,,,,,,0.0
1,21,5,,,,,,,,,0.0
1,21,5,,,,,,,,,0.0
1,21,5,,,,,,,,,0.0
1,21,5,,,,,,,,,0.0
1,22,5,,,,,,,,,0.0
1,22,5,,,,,,,,,0.0
1,22,5,,,,,,,,,0.0
1,22,5,,,,,,,,,0.0
1,23,5,,,,,,,,,0.0
1,23,5,,,,,,,,,0.0
1,23,5,,,,,,,,,0.0
1,23,5,,,,,,,,,0.0
1,24,5,,,,,,,,,0.0
1,24,5,,,,,,,,,0.0
1,24,5,,,,,,,,,0.0
1,24,5,,,,,,,,,0.0
1,1,6,,,,,,,,,0.0
1,1,6,,,,,,,,,0.0
1,1,6,,,,,,,,,0.0
1,1,6,,,,,,,,,0.0
1,2,6,,,,,,,,,0.0
1,2,6,,,,,,,,,0.0
1,2,6,,,,,,,,,0.0
1,2,6,,,,,,,,,0.0
1,3,6,,,,,,,,,0.0
1,3,6,,,,,,,,,0.0
1,3,6,,,,,,,,,0.0
1,3,6,,,,,,,,,0.0
1,4,6,,,,,,,,,0.0
1,4,6,,,,,,,,,0.0
1,4,6,,,,,,,,,0.0
1,4,6,,,,,,,,,0.0
1,5,6,,,,,,,,,0.0
1,5,6,,,,,,,,,0.0
1,5,6,,,,,,,,,0.0
1,5,6,,,,,,,,,0.0
1,6,6,,,,,,,,,0.0
1,6,6,,,,,,,,,0.0
1,6,6,,,,,,,,,0.0
1,6,6,,,,,,,,,0.0
1,7,6,,,,,,,,,0.0
1,7,6,,,,,,,,,0.0
1,7,6,,,,,,,,,0.0
1,7,6,,,,,,,,,0.0
1,8,6,,,,,,,,,0.0
1,8,6,,,,,,,,,0.0
1,8,6,,,,,,,,,0.0
1,8,6,,,,,,,,,0.0
1,9,6,,,,,,,,,0.0
1,9,6,,,,,,,,,0.0
1,9,6,,,,,,,,,0.065
1,9,6,,,,,,,,,0.22
1,10,6,,,,,,,,,0.3075
1,10,6,,,,,,,,,0.305
1,10,6,,,,,,,,,0.405
1,10,6,,,,,,,,,0.6975
1,11,6,,,,,,,,,0.98
1,11,6,,,,,,,,,1.025
1,11,6,,,,,,,,,1.005
1,11,6,,,,,,,,,1.26
1,12,6,,,,,,,,,1.405
1,12,6,,,,,,,,,1.735
1,12,6,,,,,,,,,1.36
1,12,6,,,,,,,,,2.0175
1,13,6,,,,,,,,,1.42
1,13,6,,,,,,,,,1.4075
1,13,6,,,,,,,,,1.5
1,13,6,,,,,,,,,2.6
1,14,6,,,,,,,,,1.91
1,14,6,,,,,,,,,1.6175
1,14,6,,,,,,,,,1.3625
1,14,6,,,,,,,,,0.68
1,15,6,,,,,,,,,0.5975
1,15,6,,,,,,,,,0.2975
1,15,6,,,,,,,,,0.6425
1,15,6,,,,,,,,,0.57
1,16,6,,,,,,,,,0.5825
1,16,6,,,,,,,,,0.61
1,16,6,,,,,,,,,0.5825
1,16,6,,,,,,,,,0.585
1,17,6,,,,,,,,,0.32
1,17,6,,,,,,,,,0.245
1,17,6,,,,,,,,,0.21
1,17,6,,,,,,,,,0.0825
1,18,6,,,,,,,,,0.0325
