timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-01-01T00:00:00,3.0,3.0,3.0,-0.0
2025-01-01T00:15:00,2.75,2.75,2.75,-0.0
2025-01-01T00:30:00,3.0,3.0,3.0,-0.0
2025-01-01T00:45:00,2.75,2.75,2.75,-0.0
2025-01-01T01:00:00,3.0,3.0,3.0,-0.0
2025-01-01T01:15:00,3.0,3.0,3.0,-0.0
2025-01-01T01:30:00,3.5,3.5,3.5,-0.0
2025-01-01T01:45:00,4.0,4.0,4.0,-0.0
2025-01-01T02:00:00,3.75,3.75,3.75,-0.0
2025-01-01T02:15:00,4.0,4.0,4.0,-0.0
2025-01-01T02:30:00,4.25,4.25,4.25,-0.0
2025-01-01T02:45:00,4.25,4.25,4.25,-0.0
2025-01-01T03:00:00,5.0,5.0,5.0,-0.0
2025-01-01T03:15:00,4.25,4.25,4.25,-0.0
2025-01-01T03:30:00,4.25,4.25,4.25,-0.0
2025-01-01T03:45:00,3.75,3.75,3.75,-0.0
2025-01-01T04:00:00,3.75,3.75,3.75,-0.0
2025-01-01T04:15:00,3.25,3.25,3.25,-0.0
2025-01-01T04:30:00,2.75,2.75,2.75,-0.0
2025-01-01T04:45:00,3.0,3.0,3.0,-0.0
2025-01-01T05:00:00,2.7487499713897705,2.75,2.75,-0.0012499999720603228
2025-01-01T05:15:00,3.226249933242798,3.25,3.25,-0.023749999701976776
2025-01-01T05:30:00,2.942500114440918,3.0,3.0,-0.057500001043081284
2025-01-01T05:45:00,3.1424999237060547,3.25,3.25,-0.10750000178813934
2025-01-01T06:00:00,3.317500114440918,3.5,3.5,-0.18250000476837158
2025-01-01T06:15:00,3.9124999046325684,4.25,4.25,-0.3375000059604645
2025-01-01T06:30:00,4.684999942779541,5.25,5.25,-0.5649999976158142
2025-01-01T06:45:00,4.608749866485596,5.25,5.25,-0.6412500143051147
2025-01-01T07:00:00,4.582499980926514,5.5,5.5,-0.9175000190734863
2025-01-01T07:15:00,4.708749771118164,6.25,6.25,-1.5412499904632568
2025-01-01T07:30:00,5.849999904632568,7.75,7.75,-1.899999976158142
2025-01-01T07:45:00,4.659999847412109,6.75,6.75,-2.0899999141693115
2025-01-01T08:00:00,3.8062500953674316,6.002500057220459,6.002500057220459,-2.1962499618530273
2025-01-01T08:15:00,4.310000419616699,6.547500133514404,6.547500133514404,-2.237499952316284
2025-01-01T08:30:00,3.2724997997283936,5.614999771118164,5.614999771118164,-2.3424999713897705
2025-01-01T08:45:00,3.0662500858306885,5.465000152587891,5.465000152587891,-2.398750066757202
2025-01-01T09:00:00,1.6274998188018799,4.114999771118164,4.114999771118164,-2.487499952316284
2025-01-01T09:15:00,1.1737499237060547,3.674999952316284,3.674999952316284,-2.5012500286102295
2025-01-01T09:30:00,1.567500114440918,4.130000114440918,4.130000114440918,-2.5625
2025-01-01T09:45:00,2.1812498569488525,4.78249979019165,4.78249979019165,-2.601249933242798
2025-01-01T10:00:00,4.342499732971191,6.835000038146973,6.835000038146973,-2.492500066757202
2025-01-01T10:15:00,3.026249885559082,5.582499980926514,5.582499980926514,-2.5562500953674316
2025-01-01T10:30:00,1.278749942779541,3.799999952316284,3.799999952316284,-2.521250009536743
2025-01-01T10:45:00,2.1112499237060547,3.930000066757202,3.930000066757202,-1.818750023841858
2025-01-01T11:00:00,3.1575000286102295,5.642499923706055,5.642499923706055,-2.484999895095825
2025-01-01T11:15:00,6.4537506103515625,8.725000381469727,8.725000381469727,-2.271250009536743
2025-01-01T11:30:00,3.2674999237060547,5.434999942779541,5.434999942779541,-2.1675000190734863
2025-01-01T11:45:00,2.4437501430511475,4.547500133514404,4.547500133514404,-2.103749990463257
2025-01-01T12:00:00,2.2024998664855957,4.224999904632568,4.224999904632568,-2.0225000381469727
2025-01-01T12:15:00,2.4574999809265137,4.502500057220459,4.502500057220459,-2.0450000762939453
2025-01-01T12:30:00,5.236249923706055,7.125,7.125,-1.8887499570846558
2025-01-01T12:45:00,3.052499771118164,4.452499866485596,4.452499866485596,-1.399999976158142
2025-01-01T13:00:00,2.8112502098083496,4.485000133514404,4.485000133514404,-1.6737500429153442
