month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,1,3,,,,,3.0,0.0,0.0,0.0,0.0
1,1,3,,,,,2.75,0.0,0.0,0.0,0.0
1,1,3,,,,,3.0,0.0,0.0,0.0,0.0
1,1,3,,,,,2.75,0.0,0.0,0.0,0.0
1,2,3,,,,,3.0,0.0,0.0,0.0,0.0
1,2,3,,,,,3.0,0.0,0.0,0.0,0.0
1,2,3,,,,,3.5,0.0,0.0,0.0,0.0
1,2,3,,,,,4.0,0.0,0.0,0.0,0.0
1,3,3,,,,,3.75,0.0,0.0,0.0,0.0
1,3,3,,,,,4.0,0.0,0.0,0.0,0.0
1,3,3,,,,,4.25,0.0,0.0,0.0,0.0
1,3,3,,,,,4.25,0.0,0.0,0.0,0.0
1,4,3,,,,,5.0,0.0,0.0,0.0,0.0
1,4,3,,,,,4.25,0.0,0.0,0.0,0.0
1,4,3,,,,,4.25,0.0,0.0,0.0,0.0
1,4,3,,,,,3.75,0.0,0.0,0.0,0.0
1,5,3,,,,,3.75,0.0,0.0,0.0,0.0
1,5,3,,,,,3.25,0.0,0.0,0.0,0.0
1,5,3,,,,,2.75,0.0,0.0,0.0,0.0
1,5,3,,,,,3.0,0.0,0.0,0.0,0.0
1,6,3,,,,,2.75,0.0,0.0,0.0,0.00125
1,6,3,,,,,3.25,0.0,0.0,0.0,0.02375
1,6,3,,,,,3.0,0.0,0.0,0.0,0.0575
1,6,3,,,,,3.25,0.0,0.0,0.0,0.1075
1,7,3,,,,,3.5,0.0,0.0,0.0,0.1825
1,7,3,,,,,4.25,0.0,0.0,0.0,0.3375
1,7,3,,,,,5.25,0.0,0.0,0.0,0.565
1,7,3,,,,,5.25,0.0,0.0,0.0,0.64125
1,8,3,,,,,5.5,0.0,0.0,0.0,0.9175
1,8,3,,,,,6.25,0.0,0.0,0.0,1.54125
1,8,3,,,,,7.75,0.0,0.0,0.0,1.9
1,8,3,,,,,6.75,0.0,0.0,0.0,2.09
