timestamp,Net Electricity Consumption-kWh,Self Consumption-kWh,Stored energy by community- kWh,Total Solar Generation-kWh,CO2-kg_co2,Price-$
2025-01-01T00:00:00,3.0,0.0,0.0,0.0,0.5121732354164124,0.24944999814033508
2025-01-01T00:15:00,2.75,0.0,0.0,0.0,0.469492107629776,0.22866249084472656
2025-01-01T00:30:00,3.0,0.0,0.0,0.0,0.5121732354164124,0.24944999814033508
2025-01-01T00:45:00,2.75,0.0,0.0,0.0,0.469492107629776,0.22866249084472656
2025-01-01T01:00:00,3.0,0.0,0.0,0.0,0.47195714712142944,0.24944999814033508
2025-01-01T01:15:00,3.0,0.0,0.0,0.0,0.47195714712142944,0.24944999814033508
2025-01-01T01:30:00,3.5,0.0,0.0,0.0,0.5506166815757751,0.29102498292922974
2025-01-01T01:45:00,4.0,0.0,0.0,0.0,0.6292762160301208,0.3325999975204468
2025-01-01T02:00:00,3.75,0.0,0.0,0.0,0.5793845653533936,0.3184875249862671
2025-01-01T02:15:00,4.0,0.0,0.0,0.0,0.6180102229118347,0.3397200107574463
2025-01-01T02:30:00,4.25,0.0,0.0,0.0,0.6566358804702759,0.3609524965286255
2025-01-01T02:45:00,4.25,0.0,0.0,0.0,0.6566358804702759,0.3609524965286255
2025-01-01T03:00:00,5.0,0.0,0.0,0.0,0.754724383354187,0.42465001344680786
2025-01-01T03:15:00,4.25,0.0,0.0,0.0,0.6415157318115234,0.3609524965286255
2025-01-01T03:30:00,4.25,0.0,0.0,0.0,0.6415157318115234,0.3609524965286255
2025-01-01T03:45:00,3.75,0.0,0.0,0.0,0.5660432577133179,0.3184875249862671
2025-01-01T04:00:00,3.75,0.0,0.0,0.0,0.5693244934082031,0.3184875249862671
2025-01-01T04:15:00,3.25,0.0,0.0,0.0,0.49341458082199097,0.2760224938392639
2025-01-01T04:30:00,2.75,0.0,0.0,0.0,0.4175046384334564,0.23355750739574432
2025-01-01T04:45:00,3.0,0.0,0.0,0.0,0.4554595947265625,0.2547900080680847
2025-01-01T05:00:00,2.74916672706604,0.0,0.0,-0.0008333333535119891,0.43461087346076965,0.23348674178123474
2025-01-01T05:15:00,3.2341666221618652,0.0,0.0,-0.015833333134651184,0.5112836360931396,0.2746777832508087
2025-01-01T05:30:00,2.9616665840148926,0.0,0.0,-0.038333334028720856,0.4682046175003052,0.2515343427658081
2025-01-01T05:45:00,3.178333282470703,0.0,0.0,-0.0716666653752327,0.5024570822715759,0.26993584632873535
2025-01-01T06:00:00,3.378333330154419,0.0,0.0,-0.12166666984558105,0.547085165977478,0.28090840578079224
2025-01-01T06:15:00,4.025000095367432,0.0,0.0,-0.22499999403953552,0.6518059968948364,0.3346787691116333
2025-01-01T06:30:00,4.87333345413208,0.0,0.0,-0.3766666650772095,0.7891845107078552,0.4052176773548126
2025-01-01T06:45:00,4.822500228881836,0.0,0.0,-0.42750000953674316,0.7809526324272156,0.40099090337753296
2025-01-01T07:00:00,4.888333320617676,0.0,0.0,-0.6116666793823242,0.8033778667449951,0.40646490454673767
2025-01-01T07:15:00,5.222499847412109,0.0,0.0,-1.027500033378601,0.8582967519760132,0.4342508614063263
2025-01-01T07:30:00,6.483333587646484,0.0,0.0,-1.2666666507720947,1.0655096769332886,0.5390892028808594
2025-01-01T07:45:00,5.356666564941406,0.0,0.0,-1.3933333158493042,0.8803465366363525,0.44540682435035706
2025-01-01T08:00:00,4.537499904632568,0.0,0.0,-1.465000033378601,0.866654098033905,0.37729310989379883
2025-01-01T08:15:00,5.039999961853027,0.0,0.0,-1.5075000524520874,0.9626306891441345,0.41907599568367004
2025-01-01T08:30:00,4.014999866485596,0.0,0.0,-1.600000023841858,0.7668575644493103,0.3338472247123718
2025-01-01T08:45:00,3.7941668033599854,0.0,0.0,-1.6708333492279053,0.7246788740158081,0.3154849708080292
2025-01-01T09:00:00,2.3349997997283936,0.0,0.0,-1.7799999713897705,0.47376880049705505,0.1941552311182022
2025-01-01T09:15:00,1.78249990940094,0.0,0.0,-1.8925000429153442,0.3616671860218048,0.14821486175060272
2025-01-01T09:30:00,2.0450000762939453,0.0,0.0,-2.0850000381469727,0.4149281978607178,0.1700417548418045
2025-01-01T09:45:00,2.620833158493042,0.0,0.0,-2.1616666316986084,0.531764030456543,0.21792227029800415
2025-01-01T10:00:00,4.561666488647461,0.0,0.0,-2.2733333110809326,0.9710496068000793,0.3793025612831116
2025-01-01T10:15:00,2.8508334159851074,0.0,0.0,-2.7316665649414062,0.6068617105484009,0.23704679310321808
2025-01-01T10:30:00,0.8524999618530273,0.0,0.0,-2.947499990463257,0.18147310614585876,0.07088536769151688
2025-01-01T10:45:00,1.3241667747497559,0.0,0.0,-2.6058332920074463,0.2818776071071625,0.11010446399450302
2025-01-01T11:00:00,2.5216665267944336,0.0,0.0,-3.120833396911621,0.5691651105880737,0.2096765637397766
2025-01-01T11:15:00,5.7191667556762695,0.0,0.0,-3.005833387374878,1.2908726930618286,0.47554871439933777
2025-01-01T11:30:00,2.428333282470703,0.0,0.0,-3.006666660308838,0.5480989217758179,0.20191590487957
2025-01-01T11:45:00,1.5458333492279053,0.0,0.0,-3.001666784286499,0.3489099144935608,0.12853604555130005
2025-01-01T12:00:00,1.2183332443237305,0.0,0.0,-3.006666660308838,0.2858305871486664,0.10130441188812256
2025-01-01T12:15:00,1.4716668128967285,0.0,0.0,-3.0308332443237305,0.34526464343070984,0.12236909568309784
2025-01-01T12:30:00,4.157500267028809,0.0,0.0,-2.9674999713897705,0.975382387638092,0.3456961512565613
2025-01-01T12:45:00,1.7849998474121094,0.0,0.0,-2.6675000190734863,0.4187750518321991,0.1484227329492569
2025-01-01T13:00:00,1.7075002193450928,0.0,0.0,-2.7774999141693115,0.4146847128868103,0.14197863638401031
2025-01-01T13:15:00,1.2358334064483643,0.0,0.0,-3.126666784286499,0.30013537406921387,0.10275954753160477
2025-01-01T13:30:00,2.1516666412353516,0.0,0.0,-3.1408333778381348,0.5225552916526794,0.17891107499599457
2025-01-01T13:45:00,1.189166784286499,0.0,0.0,-2.698333263397217,0.2888018786907196,0.09887921810150146
2025-01-01T14:00:00,1.7708334922790527,0.0,0.0,-3.196666717529297,0.42896538972854614,0.14724481105804443
2025-01-01T14:15:00,1.2291665077209473,0.0,0.0,-3.0158333778381348,0.29775238037109375,0.10220519453287125
2025-01-01T14:30:00,1.249999761581421,0.0,0.0,-2.9700000286102295,0.3027990162372589,0.10393747687339783
2025-01-01T14:45:00,1.812499761581421,0.0,0.0,-2.930000066757202,0.4390585720539093,0.1507093608379364
2025-01-01T15:00:00,1.2949998378753662,0.0,0.0,-2.884999990463257,0.314270943403244,0.10767923295497894
2025-01-01T15:15:00,1.6091666221618652,0.0,0.0,-2.805833339691162,0.39051303267478943,0.13380220532417297
2025-01-01T15:30:00,2.056666612625122,0.0,0.0,-2.5908334255218506,0.49911245703697205,0.171011820435524
2025-01-01T15:45:00,4.527500152587891,0.0,0.0,-2.240000009536743,1.0987350940704346,0.37646162509918213
2025-01-01T16:00:00,5.09666633605957,0.0,0.0,-2.1658332347869873,1.2499557733535767,0.42378780245780945
2025-01-01T16:15:00,3.0858333110809326,0.0,0.0,-2.0991666316986084,0.7567996382713318,0.25658702850341797
2025-01-01T16:30:00,3.4558334350585938,0.0,0.0,-1.8741666078567505,0.8475420475006104,0.2873525619506836
2025-01-01T16:45:00,4.222500324249268,0.0,0.0,-1.3049999475479126,1.035566806793213,0.351100891828537
2025-01-01T17:00:00,4.747499942779541,0.0,0.0,-1.7324999570846558,1.168582558631897,0.3947546184062958
2025-01-01T17:15:00,4.303333282470703,0.0,0.0,-1.5241667032241821,1.059252381324768,0.35782214999198914
2025-01-01T17:30:00,4.3466668128967285,0.0,0.0,-1.4083333015441895,1.0699187517166138,0.36142534017562866
2025-01-01T17:45:00,5.419166564941406,0.0,0.0,-1.3308333158493042,1.3339112997055054,0.4506036937236786
2025-01-01T18:00:00,5.273333549499512,0.0,0.0,-1.2266666889190674,1.2801512479782104,0.43847769498825073
2025-01-01T18:15:00,5.611666679382324,0.0,0.0,-1.1383333206176758,1.362284779548645,0.4666100740432739
2025-01-01T18:30:00,6.117499828338623,0.0,0.0,-0.8824999928474426,1.4850804805755615,0.5086700916290283
2025-01-01T18:45:00,5.994166851043701,0.0,0.0,-0.5058333277702332,1.4551403522491455,0.4984149634838104
2025-01-01T19:00:00,5.495833396911621,0.0,0.0,-0.5041666626930237,1.3272957801818848,0.45697852969169617
2025-01-01T19:15:00,4.605000019073486,0.0,0.0,-0.39500001072883606,1.1121511459350586,0.3829057514667511
